2026-09-09 11:50:48 [INFO] INFERENCE | Len=82 | Urgency=HIGH (Conf=0.95) | Ents=3 | Latency=5.8ms | Errors=None
2026-09-09 11:50:48 [INFO] INFERENCE | Len=78 | Urgency=LOW (Conf=0.95) | Ents=4 | Latency=6.6ms | Errors=None
2026-09-09 11:50:48 [INFO] INFERENCE | Len=61 | Urgency=HIGH (Conf=0.39) | Ents=7 | Latency=11.9ms | Errors=None
2026-09-09 11:50:48 [INFO] INFERENCE | Len=93 | Urgency=CRITICAL (Conf=0.28) | Ents=2 | Latency=7.6ms | Errors=None
2026-09-09 11:50:49 [INFO] INFERENCE | Len=95 | Urgency=LOW (Conf=0.95) | Ents=1 | Latency=9.1ms | Errors=None
2026-09-09 11:50:49 [INFO] INFERENCE | Len=67 | Urgency=HIGH (Conf=0.28) | Ents=3 | Latency=4.8ms | Errors=None
2026-09-09 11:50:49 [INFO] INFERENCE | Len=0 | Urgency=LOW (Conf=0.00) | Ents=0 | Latency=0.0ms | Errors=None
2026-09-09 11:50:49 [INFO] INFERENCE | Len=32 | Urgency=LOW (Conf=0.86) | Ents=0 | Latency=6.5ms | Errors=None
2026-09-09 11:50:49 [INFO] INFERENCE | Len=55 | Urgency=CRITICAL (Conf=0.95) | Ents=1 | Latency=4.6ms | Errors=None
2026-09-09 11:50:49 [INFO] INFERENCE | Len=34 | Urgency=MODERATE (Conf=0.90) | Ents=1 | Latency=14.7ms | Errors=None
2026-09-09 12:26:18 [INFO] INFERENCE | Len=130 | Urgency=LOW (Conf=0.92) | Ents=4 | Latency=66.7ms | Errors=None
2026-09-09 12:26:46 [INFO] INFERENCE | Len=149 | Urgency=MODERATE (Conf=0.90) | Ents=4 | Latency=16.7ms | Errors=None
2026-09-09 12:26:49 [INFO] INFERENCE | Len=149 | Urgency=MODERATE (Conf=0.90) | Ents=4 | Latency=16.7ms | Errors=None
2026-09-09 13:19:16 [INFO] INFERENCE | Len=67 | Urgency=HIGH (Conf=0.28) | Ents=3 | Latency=434.6ms | Errors=None
2026-09-09 14:01:34 [INFO] INFERENCE | Len=99 | Urgency=HIGH (Conf=0.32) | Ents=3 | Latency=17.5ms | Errors=None
2026-09-09 15:04:24 [INFO] INFERENCE | Len=45 | Urgency=HIGH (Conf=0.38) | Ents=2 | Latency=215.1ms | Errors=None
2026-09-09 21:54:50 [INFO] INFERENCE | Len=93 | Urgency=LOW (Conf=0.94) | Ents=3 | Latency=24.9ms | Errors=None
2026-09-09 21:54:50 [INFO] INFERENCE | Len=110 | Urgency=CRITICAL (Conf=0.95) | Ents=4 | Latency=9.8ms | Errors=None
2026-09-09 21:55:41 [INFO] INFERENCE | Len=67 | Urgency=MODERATE (Conf=0.46) | Ents=3 | Latency=21.3ms | Errors=None
2026-09-09 21:55:41 [INFO] INFERENCE | Len=0 | Urgency=LOW (Conf=0.00) | Ents=0 | Latency=0.0ms | Errors=None
2026-09-09 21:55:41 [INFO] INFERENCE | Len=32 | Urgency=LOW (Conf=0.68) | Ents=0 | Latency=5.9ms | Errors=None
2026-09-09 21:55:41 [INFO] INFERENCE | Len=55 | Urgency=CRITICAL (Conf=0.99) | Ents=1 | Latency=4.6ms | Errors=None
2026-09-09 21:55:41 [INFO] INFERENCE | Len=34 | Urgency=MODERATE (Conf=0.99) | Ents=1 | Latency=7.1ms | Errors=None
2026-09-09 21:55:41 [INFO] INFERENCE | Len=0 | Urgency=LOW (Conf=0.00) | Ents=0 | Latency=0.0ms | Errors=None
2026-09-09 21:55:41 [INFO] INFERENCE | Len=105 | Urgency=MODERATE (Conf=0.48) | Ents=5 | Latency=6.9ms | Errors=None
2026-09-09 21:55:41 [INFO] INFERENCE | Len=82 | Urgency=HIGH (Conf=0.99) | Ents=3 | Latency=7.9ms | Errors=None
2026-09-09 21:55:41 [INFO] INFERENCE | Len=78 | Urgency=LOW (Conf=0.95) | Ents=4 | Latency=8.0ms | Errors=None
2026-09-09 21:55:41 [INFO] INFERENCE | Len=61 | Urgency=LOW (Conf=0.44) | Ents=7 | Latency=13.1ms | Errors=None
2026-09-09 21:55:41 [INFO] INFERENCE | Len=93 | Urgency=MODERATE (Conf=0.48) | Ents=2 | Latency=8.0ms | Errors=None
2026-09-09 21:55:41 [INFO] INFERENCE | Len=95 | Urgency=LOW (Conf=0.95) | Ents=1 | Latency=10.7ms | Errors=None
2026-09-09 21:56:15 [INFO] INFERENCE | Len=67 | Urgency=MODERATE (Conf=0.46) | Ents=3 | Latency=19.0ms | Errors=None
2026-09-09 21:56:15 [INFO] INFERENCE | Len=0 | Urgency=LOW (Conf=0.00) | Ents=0 | Latency=0.0ms | Errors=None
2026-09-09 21:56:15 [INFO] INFERENCE | Len=32 | Urgency=LOW (Conf=0.68) | Ents=0 | Latency=7.2ms | Errors=None
2026-09-09 21:56:15 [INFO] INFERENCE | Len=55 | Urgency=CRITICAL (Conf=0.99) | Ents=1 | Latency=2.4ms | Errors=None
2026-09-09 21:56:15 [INFO] INFERENCE | Len=34 | Urgency=MODERATE (Conf=0.99) | Ents=1 | Latency=5.6ms | Errors=None
2026-09-09 21:56:16 [INFO] INFERENCE | Len=0 | Urgency=LOW (Conf=0.00) | Ents=0 | Latency=0.0ms | Errors=None
2026-09-09 21:56:16 [INFO] INFERENCE | Len=105 | Urgency=MODERATE (Conf=0.48) | Ents=5 | Latency=5.2ms | Errors=None
2026-09-09 21:56:16 [INFO] INFERENCE | Len=82 | Urgency=HIGH (Conf=0.99) | Ents=3 | Latency=6.1ms | Errors=None
2026-09-09 21:56:16 [INFO] INFERENCE | Len=78 | Urgency=LOW (Conf=0.95) | Ents=4 | Latency=9.1ms | Errors=None
2026-09-09 21:56:16 [INFO] INFERENCE | Len=61 | Urgency=LOW (Conf=0.44) | Ents=7 | Latency=12.7ms | Errors=None
2026-09-09 21:56:16 [INFO] INFERENCE | Len=93 | Urgency=MODERATE (Conf=0.48) | Ents=2 | Latency=7.6ms | Errors=None
2026-09-09 21:56:16 [INFO] INFERENCE | Len=95 | Urgency=LOW (Conf=0.95) | Ents=1 | Latency=9.1ms | Errors=None
